	Astrocyte	Excitatory	Inhibitory	Oligodendrocyte	Microglia	OPC	unknown	Endothelial
50301387	0.3698564	0.08407416	0.16555639	0.20261636	0.0	0.012895464	0.08390175	0.08109947
50301963	0.4657664	0.06634497	0.17022812	0.16190551	0.0	0.005831118	0.06846216	0.061461695
50302004	0.44923824	0.07700595	0.17391795	0.17032532	0.0	0.0062722918	0.07187289	0.051367402
50302266	0.43975133	0.026851019	0.13895682	0.1945631	0.0	0.028068429	0.08125078	0.09055858
50302428	0.48095363	0.016954474	0.15608762	0.18574663	0.010454737	0.0047894446	0.0754327	0.0695807
50302554	0.3843584	0.06616711	0.16621242	0.22696309	0.0	0.012895879	0.079217985	0.064185195
50302978	0.4770156	0.068932146	0.17747998	0.1878424	0.0	0.008803831	0.049338333	0.030587738
50303145	0.47208333	0.059134264	0.16019502	0.16389722	0.0	0.014752968	0.07135314	0.058584105
50305165	0.46908408	0.038416196	0.15161979	0.17935038	0.0	0.019396795	0.07650553	0.06562723
50400385	0.46377727	0.02399708	0.14879104	0.21014556	0.0	0.009669185	0.07075263	0.07286717
50400709	0.4033696	0.07546902	0.16432407	0.19122383	0.0	0.011822535	0.08225593	0.071535
